review_score,review_comment_message,Avaliação,Tempo_de_Resposta
1,"Produto muito inferior, mal acabado.",Negativa,67.06444444444445
5,,Positiva,90.71916666666667
4,,Positiva,118.88444444444444
5,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,Positiva,17.73472222222222
5,Maravilha ,Positiva,71.47944444444444
5,,Positiva,70.74944444444445
5,,Positiva,27.196944444444444
4,,Positiva,47.716944444444444
5,,Positiva,11.106666666666667
5,,Positiva,133.9572222222222
5,,Positiva,44.48
5,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,Positiva,47.5
1,Pedi reembolso e sem resposta até momento ,Negativa,12.459444444444445
5,Super rápido.,Positiva,27.146944444444443
1,,Negativa,15.539722222222222
5,,Positiva,66.70916666666666
5,,Positiva,339.2266666666667
2,,Negativa,9.49638888888889
5,,Positiva,23.672777777777778
5,,Positiva,46.97611111111111
5,,Positiva,25.04111111111111
5,,Positiva,162.72333333333333
5,"Satisfeito
",Positiva,14.761111111111111
4,,Positiva,84.73138888888889
4,,Positiva,62.687777777777775
5,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",Positiva,133.80583333333334
5,,Positiva,20.56388888888889
1,,Negativa,106.41972222222222
5,,Positiva,35.94555555555556
5,OK RECOMENDO,Positiva,132.8125
5,,Positiva,18.324166666666667
5,"Produto de muito boa qualidade, chegou antes do prazo prometido",Positiva,65.53277777777778
5,,Positiva,34.04194444444445
5,,Positiva,28.926944444444445
5,,Positiva,26.568055555555556
1,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",Negativa,153.8825
5,"Entrega muito rápida
Parabéns",Positiva,21.100277777777777
5,,Positiva,23.779722222222222
5,,Positiva,189.71805555555557
1,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,Negativa,45.916111111111114
4,,Positiva,19.78527777777778
4,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",Positiva,95.35472222222222
1,,Negativa,10.536944444444444
4,,Positiva,73.57833333333333
5,,Positiva,23.85388888888889
4,,Positiva,119.59194444444445
5,,Positiva,35.66888888888889
5,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",Positiva,31.78611111111111
2,Demorou de mais pra entrega ,Negativa,12.236944444444445
5,,Positiva,138.75583333333333
5,super rapido a entrega .... chegou antes da data... ,Positiva,43.615833333333335
1,Não funciona não faz sincronismo,Negativa,47.66555555555556
5,Recomendo a todos os clientes,Positiva,113.78861111111111
4,,Positiva,38.39805555555556
5,,Positiva,23.60361111111111
5,,Positiva,35.93861111111111
5,,Positiva,23.33277777777778
5,,Positiva,63.452777777777776
5,OTIMA,Positiva,84.43
5,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",Positiva,26.381944444444443
4,,Positiva,38.21666666666667
1,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",Negativa,23.753611111111113
5,,Positiva,23.27722222222222
4,,Positiva,86.51361111111112
1,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,Negativa,24.48027777777778
1,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",Negativa,35.10527777777778
5,Sempre compro na lannister.Pra mim é a melhor loja on-line,Positiva,82.43694444444445
5,Produto de qualidade excelente,Positiva,40.94694444444445
5,,Positiva,15.500833333333333
1,,Negativa,20.983888888888888
5,,Positiva,36.635
2,,Negativa,71.9025
5,,Positiva,19.857222222222223
4,,Positiva,69.00444444444445
5,Ótimo custo-benefício,Positiva,38.25388888888889
5,OK,Positiva,91.5775
5,,Positiva,25.517222222222223
5,Gostei da atenção com a entrega,Positiva,80.08027777777778
5,,Positiva,90.83694444444444
5,,Positiva,34.9275
4," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",Positiva,47.6975
1,A peça não serviu,Negativa,86.13444444444444
1,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,Negativa,23.232777777777777
1,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",Negativa,90.42
5,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",Positiva,74.80583333333334
5,,Positiva,67.45555555555555
5,,Positiva,66.59777777777778
5,"Entregou no prazo certo, fiquei feliz com a compra que fiz",Positiva,24.98111111111111
5,,Positiva,12.860555555555555
4,,Positiva,210.26444444444445
5,,Positiva,23.817777777777778
5,Lindo relógio adorei,Positiva,25.35388888888889
5,,Positiva,35.08694444444444
5,,Positiva,60.63388888888889
4,,Positiva,133.53416666666666
4,,Positiva,25.015
5,Muito bom alta qualidade!,Positiva,24.939166666666665
1,,Negativa,83.33083333333333
4,,Positiva,18.06861111111111
5,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",Positiva,83.08111111111111
5,Muito bom,Positiva,33.7075
1,Faltou 1 produto e os que recebi 1 veio quebrado,Negativa,22.383333333333333
5,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",Positiva,66.20472222222222
4,,Positiva,96.19166666666666
4,,Positiva,35.115
4,,Positiva,85.745
5,,Positiva,762.23
1,aqui está descrevendo como entregue só que ate agora não recebi,Negativa,40.57944444444445
5,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",Positiva,36.683055555555555
5,Ainda não tive a oportunidade de testar,Positiva,64.99722222222222
5,,Positiva,21.050555555555555
5,,Positiva,21.852222222222224
5,,Positiva,21.106944444444444
5,nada a declarar,Positiva,59.382777777777775
4,,Positiva,30.37388888888889
5,,Positiva,866.4941666666666
5,,Positiva,37.84638888888889
5,,Positiva,133.97833333333332
5,,Positiva,140.11388888888888
5,O produto chegou muito rapido e de boa qualidade recomendo o produto,Positiva,82.5375
5,,Positiva,70.72638888888889
5,,Positiva,22.769444444444446
1,,Negativa,5.361944444444444
5,,Positiva,17.55388888888889
5,,Positiva,70.77416666666667
1,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",Negativa,12.340833333333334
1,,Negativa,18.448888888888888
1,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,Negativa,130.64083333333335
5,,Positiva,35.33222222222222
5,,Positiva,71.11888888888889
5,,Positiva,36.3125
5,Recomendo,Positiva,25.857777777777777
4,Atendeu minha expectativa.,Positiva,35.03472222222222
5,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,Positiva,26.638055555555557
4,,Positiva,61.80027777777778
5,,Positiva,70.0038888888889
4,,Positiva,73.17416666666666
5,"otimo produto só nao veio manual, mas sem problemas.",Positiva,86.44361111111111
4,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",Positiva,88.60111111111111
5,Excelente produto.,Positiva,64.33555555555556
5,Tudo certo,Positiva,157.86416666666668
1,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",Negativa,36.07333333333333
5,Produto muito bom,Positiva,29.461666666666666
1,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,Negativa,23.358888888888888
1,produto deu defeito na 1 vez de uso.,Negativa,43.54416666666667
5,,Positiva,67.44888888888889
5,super recomendo produto profissional de qualidade,Positiva,86.47611111111111
1,até agora não recebi o produto.,Negativa,8.999166666666667
5,,Positiva,36.9975
5,,Positiva,27.486944444444443
1, A loja anuncia um produto e entrega outro.,Negativa,77.3463888888889
5,muito bom e rapido quando vi ja tinha chegado,Positiva,42.708888888888886
5,,Positiva,34.02861111111111
5,O produto chegou muito bem,Positiva,91.55638888888889
5,otimo,Positiva,38.12277777777778
5,Muito satisfeito,Positiva,24.641944444444444
4,parabéns para loja e revendedor apesar de ter demorado um pouco,Positiva,45.76555555555556
5,,Positiva,15.15638888888889
5,"Entregue dentro do prazo, e com bom período de validade.",Positiva,24.477222222222224
5,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",Positiva,18.136666666666667
1,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),Negativa,69.28583333333333
5,,Positiva,68.28694444444444
2,,Negativa,84.7761111111111
2,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,Negativa,93.75
2,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",Negativa,54.21083333333333
5,,Positiva,69.22194444444445
5,,Positiva,28.162222222222223
5,,Positiva,25.591666666666665
1,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",Negativa,43.58777777777778
5,,Positiva,71.21
5,,Positiva,70.14611111111111
5,,Positiva,629.6580555555555
5,,Positiva,33.944722222222225
5,sempre comprei no stark e estou satisfeito.,Positiva,37.94361111111111
5,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,Positiva,166.9361111111111
4,,Positiva,66.20222222222222
4,,Positiva,82.52333333333333
1,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",Negativa,9.465277777777779
5,,Positiva,19.813055555555554
5,,Positiva,49.44111111111111
5,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,Positiva,20.791944444444443
5,,Positiva,83.87055555555555
5,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,Positiva,18.875833333333333
5,,Positiva,66.30638888888889
5,,Positiva,85.55222222222223
5,,Positiva,25.675833333333333
5,,Positiva,87.215
5,,Positiva,22.73138888888889
4,,Positiva,22.330277777777777
5,"Tudo ok,o baratheon sempre responsável com a suas entregas.",Positiva,33.27611111111111
5,,Positiva,19.599722222222223
1,,Negativa,15.943055555555556
5,,Positiva,3.7577777777777777
1,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,Negativa,154.335
5,,Positiva,28.281666666666666
4,,Positiva,44.04611111111111
1,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,Negativa,26.200277777777778
5,A,Positiva,32.909444444444446
5,entrega rapida,Positiva,36.090555555555554
4,,Positiva,60.4975
4,foi bom,Positiva,596.3486111111112
5,Mercadoria certa entregue no prazo combinado. Grata,Positiva,14.974722222222223
1,", muito ruim ! ",Negativa,21.4775
1,,Negativa,108.69388888888889
1,Passou dos dias previstos.,Negativa,124.23027777777777
5,,Positiva,24.410555555555554
5,,Positiva,71.7325
4,,Positiva,92.54916666666666
5,,Positiva,25.853055555555557
4,,Positiva,40.28666666666667
4,,Positiva,63.783611111111114
5,Entrega bem antes do prazo perfeito!!,Positiva,41.30388888888889
5,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,Positiva,24.63861111111111
5,,Positiva,65.84861111111111
5,,Positiva,43.37833333333333
1,,Negativa,12.296111111111111
5,bem rapido a entrega e bom comprar com vcs,Positiva,92.90805555555555
1,Produto não recomendo não ler em nenhum dispositivo,Negativa,25.82777777777778
4,"Entrega super rápida, parabéns!",Positiva,38.63166666666667
5,,Positiva,118.0411111111111
5,,Positiva,23.128333333333334
4,Tudo rápido e eficiente.,Positiva,60.825
4,,Positiva,26.331666666666667
4,,Positiva,23.587222222222223
5,Creme maravilhoso e entrega super rápida,Positiva,16.35472222222222
5,,Positiva,85.07277777777777
5,,Positiva,161.44333333333333
1,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",Negativa,36.92333333333333
4,"Chegou hoje 
sem comentários",Positiva,93.19805555555556
1,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",Negativa,171.04416666666665
5,,Positiva,64.13194444444444
5,,Positiva,22.216666666666665
5,Muito bom! Aquilo que esperava!,Positiva,68.20527777777778
2,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,Negativa,37.123333333333335
5,,Positiva,22.36777777777778
5,,Positiva,24.54611111111111
5,,Positiva,83.40055555555556
5,,Positiva,70.91
5,,Positiva,68.21472222222222
5,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",Positiva,36.98777777777778
5,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,Positiva,22.406944444444445
5,Recomendo.,Positiva,17.486666666666668
5,,Positiva,107.10583333333334
1,,Negativa,25.288888888888888
5,,Positiva,205.52555555555554
4,,Positiva,83.60888888888888
5,ótimo chegou bem antes do prazo .,Positiva,92.78111111111112
5,,Positiva,19.38222222222222
5,,Positiva,34.01027777777778
5,Entregue no prazo produto muito bom.,Positiva,85.84138888888889
5,,Positiva,10.944722222222222
5,,Positiva,40.955
2,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",Negativa,21.599722222222223
4,,Positiva,37.27722222222222
5,Acho q deveriam mandar por sedex ao invés de pac,Positiva,24.20638888888889
1,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",Negativa,15.5475
5,,Positiva,37.28111111111111
5,,Positiva,84.39944444444444
5,,Positiva,26.591944444444444
5,,Positiva,3514.89
5,Lindo... Só faltou instruções da troca de pulseiras.,Positiva,16.9225
4,,Positiva,27.68638888888889
5,,Positiva,59.407222222222224
5,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",Positiva,21.513055555555557
4,,Positiva,20.585555555555555
5,,Positiva,67.2863888888889
5,,Positiva,40.70805555555555
5,,Positiva,23.762777777777778
5,,Positiva,37.02
5,,Positiva,25.316111111111113
5,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",Positiva,46.93
1,"Não gostei do produto, material de péssima qualidade.",Negativa,808.4077777777778
1,"Dos dois produtos comprados, foi entregue apenas um!",Negativa,35.90777777777778
1,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,Negativa,25.0775
5,,Positiva,156.41944444444445
5,,Positiva,74.7
5,,Positiva,69.89666666666666
5,,Positiva,19.948611111111113
5,,Positiva,24.79722222222222
5,"recebi o produto dentro do prazo informado, ainda não utilizei.",Positiva,84.4161111111111
5,,Positiva,63.51694444444445
4,"O pedido chegou antes do combinado, muito bom.",Positiva,65.32138888888889
4,produto entregue conforme anunciado.,Positiva,36.51916666666666
5,,Positiva,91.0725
5,LOJA 10,Positiva,57.35805555555555
4,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",Positiva,23.90861111111111
4,,Positiva,70.29138888888889
1,Nem fizeram a nota fiscal ,Negativa,2.573888888888889
5,"Chegou antes do prazo!
Produto excelente!",Positiva,69.49083333333333
5,,Positiva,18.27166666666667
5,,Positiva,79.63305555555556
5,,Positiva,58.98
5,,Positiva,83.80388888888889
4,trabalho com profissionalismo das lojas lannister. indico com certeza,Positiva,70.79555555555555
5,,Positiva,25.626666666666665
5,,Positiva,69.47638888888889
1,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",Negativa,37.915
5,super recomendo o produto que é muito bom!,Positiva,1935.3152777777777
5,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",Positiva,23.023611111111112
4," A loja postou o produto de e mediato o correio demorou um pouco
",Positiva,23.337222222222223
5,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",Positiva,23.100277777777777
4,Muito bom desde da compra a entrega td direitinho e rapido,Positiva,33.65083333333333
5,Tudo ok!,Positiva,60.9125
5,,Positiva,35.4025
1,,Negativa,89.675
5,,Positiva,35.448055555555555
1,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,Negativa,127.9275
5,Entrega e qualidade do produto de acordo com o esperado.,Positiva,24.54
5,Excelente recomendo,Positiva,48.605
1,,Negativa,41.056111111111115
5,,Positiva,64.20361111111112
4,,Positiva,20.8225
1,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",Negativa,25.059166666666666
4,"muito bom, recomendo o produto.",Positiva,33.94
5,,Positiva,114.69083333333333
5,,Positiva,22.274166666666666
5,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,Positiva,84.08111111111111
4,,Positiva,37.91
4,bom em todos os aspectos,Positiva,82.7175
4,,Positiva,23.5975
5,,Positiva,207.3436111111111
5,,Positiva,168.7072222222222
4,,Positiva,26.022222222222222
5,Até hoje estou satisfeito com a sbmarino,Positiva,68.97361111111111
5,,Positiva,115.18972222222222
5,,Positiva,74.55527777777777
1,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,Negativa,208.2288888888889
5,,Positiva,21.403055555555557
5,Gostei!,Positiva,24.664722222222224
4,,Positiva,19.70611111111111
5,,Positiva,85.92111111111112
5,,Positiva,659.145
5,,Positiva,21.502222222222223
5,,Positiva,34.61472222222222
5,,Positiva,69.81138888888889
5,,Positiva,34.900555555555556
5,,Positiva,34.8525
5,Chegou antes do prazo é a cabeceira é linda.,Positiva,18.21611111111111
4,,Positiva,41.71194444444444
5,,Positiva,20.824444444444445
4,,Positiva,23.37388888888889
5,,Positiva,35.53916666666667
5,10,Positiva,59.038333333333334
5,Gostei do produto chegou no tempo certo os vendedores estão de parabéns,Positiva,20.31111111111111
4,,Positiva,24.8625
5,Atendimento excelente,Positiva,93.27916666666667
4,Gostei ,Positiva,35.841388888888886
5,,Positiva,20.168333333333333
5,,Positiva,22.136111111111113
1,No dia 19 de maio usei e a à alça quebrou sem muito peso ,Negativa,314.06361111111113
5,Toalha do maior campeão do Brasil maravilhosa ,Positiva,26.133333333333333
5,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",Positiva,11.289166666666667
1,,Negativa,21.133333333333333
5,,Positiva,25.921666666666667
5,,Positiva,114.93972222222222
5,Até agora tudo bem estou esperando a entrega do produto,Positiva,138.73805555555555
5,,Positiva,37.92111111111111
5,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",Positiva,26.669444444444444
5,,Positiva,18.06138888888889
5,,Positiva,73.72472222222223
5,,Positiva,84.96111111111111
5,"O produto foi entregue antes do prazo.
",Positiva,36.201388888888886
4,,Positiva,28.38861111111111
4,,Positiva,20.194444444444443
4,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",Positiva,86.63666666666667
5,,Positiva,17.765
2,comprei o produto na cor preta e chegou na cor vermelha.,Negativa,35.24472222222222
5,,Positiva,69.71388888888889
5,,Positiva,24.697222222222223
5,,Positiva,18.136666666666667
5,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",Positiva,44.0525
4,"otimo
",Positiva,67.81583333333333
4,,Positiva,35.64527777777778
5,,Positiva,65.21
2,Pensei que a mochila fosse um material mais resistente.,Negativa,137.97
5,,Positiva,60.01361111111111
2,,Negativa,92.41722222222222
1,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",Negativa,22.029166666666665
1,,Negativa,33.82666666666667
1,o produto demora muita para chegar !,Negativa,134.02555555555554
4,,Positiva,94.1211111111111
1,,Negativa,18.520555555555557
5,,Positiva,70.87444444444445
5,,Positiva,19.265
5,,Positiva,68.17361111111111
5,,Positiva,36.51
1,,Negativa,61.54833333333333
5,"entrega rápida, produto conforme esperado",Positiva,34.91
5,Tudo como anunciado....Ótimo produto...,Positiva,33.86277777777778
1,"Somente foi entregue uma unidade, ao invés de duas.",Negativa,66.62972222222223
4," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",Positiva,136.39055555555555
5,,Positiva,24.99972222222222
5,Muito satisfeito.,Positiva,172.0
4,Otimo produto porem caro demais !!! ,Positiva,24.95722222222222
5,,Positiva,72.48027777777777
5,"Produtos otimos, entrega rápida.
Super recomendo!!!",Positiva,39.816944444444445
4,,Positiva,74.00083333333333
2,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",Negativa,154.32444444444445
4,,Positiva,63.821666666666665
5,,Positiva,33.89111111111111
1,Ainda não recebi,Negativa,12.323333333333334
5,Tive um pós venda excelente através do Sr Renato,Positiva,23.993333333333332
5,,Positiva,20.8375
5,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",Positiva,24.745277777777776
5,Muito bom,Positiva,35.12305555555555
1,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",Negativa,9.160833333333333
5,,Positiva,41.43138888888889
4,,Positiva,205.99055555555555
5,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",Positiva,24.98138888888889
5,,Positiva,13.81861111111111
5,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,Positiva,85.49305555555556
5,,Positiva,130.23277777777778
4,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",Positiva,42.681111111111115
1,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",Negativa,95.53333333333333
4,Loja Nota 10,Positiva,82.34027777777777
5,,Positiva,179.45
5,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,Positiva,24.550555555555555
1,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",Negativa,57.44444444444444
5,Muito bom mesmo!,Positiva,63.93
2,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",Negativa,92.81694444444445
5,Entrega antes do prazo produto muito bem conservado. ,Positiva,72.4125
5,Produto de ótima qualidade. Adorei!,Positiva,84.855
5,,Positiva,33.87888888888889
5,,Positiva,26.109166666666667
5,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",Positiva,23.170833333333334
5,,Positiva,44.1475
2,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,Negativa,15.540833333333333
1,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",Negativa,57.9475
5,,Positiva,135.63555555555556
4,,Positiva,19.745
1,Nem ratrear estou conseguindo:(,Negativa,9.5425
5,nota 10,Positiva,89.23833333333333
